date,total_closed_pnl,avg_closed_pnl,total_trade_volume,trade_count,net_trade_size,index_value,classification,lag_index_value,lag_classification,pnl_per_trade,pnl_per_volume,is_greed,sentiment_change
2025-02-10,63908.49465,71.88807047244094,3624958.646305,889,-123206.79765000008,43,Fear,46.0,Neutral,71.88807047244094,0.017630130681668143,0,-3.0
2025-02-11,-6093.784817,-7.186067001179245,2797544.226785,848,-1145961.9961,47,Neutral,43.0,Fear,-7.186067001179245,-0.0021782621910514397,0,4.0
2025-02-12,19848.635032,19.251828353055284,4143974.446796168,1031,78970.58830000018,46,Neutral,47.0,Neutral,19.251828353055284,0.00478975806603865,0,-1.0
2025-02-13,27829.534238,20.313528640875912,3199852.209671,1370,-162192.7538799988,50,Neutral,46.0,Neutral,20.313528640875912,0.00869713112183433,1,4.0
2025-02-14,213860.675308,129.22095184773414,4007103.2442844,1655,-146558.11188,48,Neutral,50.0,Neutral,129.22095184773414,0.05337039309207813,0,-2.0
2025-02-15,45042.92701,48.32932082618026,1712852.9726,932,330538.8464800008,50,Neutral,48.0,Neutral,48.32932082618026,0.026297018909701136,1,2.0
2025-02-16,2369.478425,3.479410315712188,806177.54267,681,31439.41034,54,Neutral,50.0,Neutral,3.4794103157121876,0.002939152109289058,1,4.0
2025-02-17,1818.573295,1.9325964877789583,2031044.527871,941,-41990.79069,51,Neutral,54.0,Neutral,1.9325964877789585,0.0008953881956031173,1,-3.0
2025-02-18,91204.672403,54.41806229295943,3371128.755508,1676,103989.80320999771,47,Neutral,51.0,Neutral,54.418062292959426,0.027054639267035722,0,-4.0
2025-02-19,14985.794701,11.010870463629685,3263930.31753133,1361,4319.45041000098,44,Fear,47.0,Neutral,11.010870463629685,0.004591334141083775,0,-3.0
2025-02-20,46008.794102,22.86719388767396,4628609.276245,2012,-69294.06917000096,49,Neutral,44.0,Fear,22.867193887673956,0.00994009028546152,0,5.0
2025-02-21,119693.49395,63.90469511478912,3972159.99277102,1873,384647.36723,55,Greed,49.0,Neutral,63.904695114789114,0.030133099917382878,1,6.0
2025-02-22,25278.704178,36.849423,3175570.174686,686,-2390816.71574,49,Neutral,55.0,Greed,36.849423,0.00796036704825758,0,-6.0
2025-02-23,10656.934251,20.49410432884616,1141310.664357,520,-175015.9707800001,50,Neutral,49.0,Neutral,20.494104328846156,0.009337452618130036,1,1.0
2025-02-24,38470.176242,6.850102607193732,11223619.8034631,5616,-587725.23,49,Neutral,50.0,Neutral,6.850102607193732,0.003427608642813244,0,-1.0
2025-02-25,204762.177034,32.782929400256165,19414984.756965,6246,1040623.6026600006,25,Fear,49.0,Neutral,32.782929400256165,0.010546605088656734,0,-24.0
2025-02-26,63229.063129,53.76621014370748,4946957.969294,1176,-394927.25279000006,21,Extreme Fear,25.0,Fear,53.76621014370748,0.012781402939233718,0,-4.0
2025-02-27,-36525.167517,-41.039514064044944,1999898.305549,890,40395.35866999996,10,Extreme Fear,21.0,Extreme Fear,-41.039514064044944,-0.018263512407433805,0,-11.0
2025-02-28,225628.108748,221.4211077016683,4123660.762637,1019,108302.06042000002,16,Extreme Fear,10.0,Extreme Fear,221.4211077016683,0.05471548746015549,0,6.0
2025-03-01,10596.108968,60.897177977011495,263824.12591388,174,-164367.97708563,20,Extreme Fear,16.0,Extreme Fear,60.897177977011495,0.04016353292670013,0,4.0
2025-03-02,66914.320708,125.77879832330828,6460848.75823,532,-52725.80210999999,26,Fear,20.0,Extreme Fear,125.77879832330827,0.010356893221306685,0,6.0
2025-03-03,616413.032233,415.9332201302294,8244590.617822,1482,195901.22397999975,33,Fear,26.0,Fear,415.9332201302294,0.07476575379019121,0,7.0
2025-03-04,182075.566585,75.80165136761032,11124247.007898,2402,820566.13812,15,Extreme Fear,33.0,Fear,75.80165136761032,0.016367450889550536,0,-18.0
2025-03-05,269328.365917,162.24600356445782,9193653.8498,1660,-260567.58262,20,Extreme Fear,15.0,Extreme Fear,162.24600356445782,0.02929503006281436,0,5.0
2025-03-06,16101.125561,21.18569152763158,6765325.028567,760,11138.122930000012,25,Fear,20.0,Extreme Fear,21.18569152763158,0.002379948560196592,0,5.0
2025-03-07,150236.061627,58.86993010462382,19854275.554943,2552,-33332.58432000014,34,Fear,25.0,Fear,58.86993010462382,0.0075669374695263875,0,9.0
2025-03-08,24700.773359,46.69333338185255,892083.4479949999,529,52271.51703000208,28,Fear,34.0,Fear,46.69333338185255,0.027688859617915975,0,-6.0
2025-03-09,19773.457395,13.905384947257383,10419697.999238,1422,127628.80604,27,Fear,28.0,Fear,13.905384947257385,0.0018976996642749194,0,-1.0
2025-03-10,-10010.02727,-3.438690233596702,16811790.415495,2911,199795.07239000004,20,Extreme Fear,27.0,Fear,-3.4386902335967022,-0.0005954170866164268,0,-7.0
2025-03-11,-76880.729036,-23.3964482763238,14016952.17719,3286,61184.18567999825,24,Extreme Fear,20.0,Extreme Fear,-23.3964482763238,-0.005484839219264027,0,4.0
2025-03-12,288105.984215,72.60735489289314,18618139.113543,3968,-25026.44321999885,34,Fear,24.0,Extreme Fear,72.60735489289314,0.015474478005453787,0,10.0
2025-03-13,14114.870873,14.672422944906446,3285591.083667,962,-8670.211410000047,45,Neutral,34.0,Fear,14.672422944906446,0.004295991349369806,0,11.0
2025-03-14,68646.160089,31.0616109,8047187.3251942545,2210,-203410.39106,27,Fear,45.0,Neutral,31.061610899999998,0.008530453848648653,0,-18.0
2025-03-15,78694.624572,301.51197154022987,2355749.524356,261,-72273.20527000027,46,Neutral,27.0,Fear,301.51197154022987,0.033405344565871464,0,19.0
2025-03-16,-7910.943544999999,-14.926308575471696,10187921.386796,530,27292.530260000058,30,Fear,46.0,Neutral,-14.926308575471696,-0.0007765022171502947,0,-16.0
2025-03-17,26163.906513,28.439028818478263,3592895.2260114,920,-149065.32440999988,32,Fear,30.0,Fear,28.439028818478263,0.007282123431705377,0,2.0
2025-03-18,72322.788824,86.71797221103118,4050655.349877,834,-310499.8903099999,34,Fear,32.0,Fear,86.71797221103118,0.017854589585410204,0,2.0
2025-03-19,29374.682341,18.2225076557072,4598813.831943,1612,-380564.66824,32,Fear,34.0,Fear,18.222507655707197,0.006387447592891403,0,-2.0
